Rate,Depth,Thick,Temp,Perm,Poro,Time,Weight
200,1553,500,80,9,0.1,1,0.073
200,1551,500,80,9,0.1,1,0.073
200,1556,500,80,9,0.1,1,0.073
200,1554,500,80,9,0.1,1,0.073
200,1554,500,80,9,0.1,1,0.073
200,1562,500,80,9,0.1,1,0.073
200,1553,500,80,9,0.1,1,0.073
200,1514,500,80,9,0.1,1,0.073
200,1523,500,80,9,0.1,1,0.073
200,1511,500,80,9,0.1,1,0.073
200,1515,500,80,9,0.1,1,0.073
200,1558,500,80,9,0.1,1,0.073
200,1553,500,80,9,0.1,1,0.073
200,1556,500,80,9,0.1,1,0.073
200,1556,500,80,9,0.1,1,0.073
200,1556,500,80,9,0.1,1,0.073
200,1560,500,80,9,0.1,1,0.073
200,1558,500,80,9,0.1,1,0.073
200,1513,500,80,9,0.1,1,0.073
200,1550,500,80,9,0.1,1,0.073
200,1553,500,80,9,0.1,1,0.073
200,1540,500,80,9,0.1,1,0.073
200,1543,500,80,9,0.1,1,0.073
200,1561,500,80,9,0.1,1,0.073
200,1576,500,80,9,0.1,1,0.073
200,1551,500,80,9,0.1,1,0.073
200,1562,500,80,9,0.1,1,0.073
200,1569,500,80,9,0.1,1,0.073
200,1539,500,80,9,0.1,1,0.073
200,1547,500,80,9,0.1,1,0.073
200,1543,500,80,9,0.1,1,0.073
200,1558,500,80,9,0.1,1,0.073
200,1560,500,80,9,0.1,1,0.073
200,1553,500,80,9,0.1,1,0.073
200,1543,500,80,9,0.1,1,0.073
200,1551,500,80,9,0.1,1,0.073
200,1555,500,80,9,0.1,1,0.073
200,1555,500,80,9,0.1,1,0.073
200,1539,500,80,9,0.1,1,0.073
200,1564,500,80,9,0.1,1,0.073
200,1559,500,80,9,0.1,1,0.073
200,1559,500,80,9,0.1,1,0.073
200,1557,500,80,9,0.1,1,0.073
200,1532,500,80,9,0.1,1,0.073
200,1569,500,80,9,0.1,1,0.073
200,1569,500,80,9,0.1,1,0.073
200,1542,500,80,9,0.1,1,0.073
200,1560,500,80,9,0.1,1,0.073
200,1545,500,80,9,0.1,1,0.073
200,1571,500,80,9,0.1,1,0.073
200,1562,500,80,9,0.1,1,0.073
200,1565,500,80,9,0.1,1,0.073
200,1541,500,80,9,0.1,1,0.073
200,1574,500,80,9,0.1,1,0.073
200,1561,500,80,9,0.1,1,0.073
200,1561,500,80,9,0.1,1,0.073
200,1575,500,80,9,0.1,1,0.073
200,1545,500,80,9,0.1,1,0.073
200,1577,500,80,9,0.1,1,0.073
200,1555,500,80,9,0.1,1,0.073
200,1573,500,80,9,0.1,1,0.073
200,1559,500,80,9,0.1,1,0.073
200,1559,500,80,9,0.1,1,0.073
200,1552,500,80,9,0.1,1,0.073
200,1548,500,80,9,0.1,1,0.073
200,1544,500,80,9,0.1,1,0.073
200,1534,500,80,9,0.1,1,0.073
200,1568,500,80,9,0.1,1,0.073
200,1559,500,80,9,0.1,1,0.073
200,1578,500,80,9,0.1,1,0.073
200,1578,500,80,9,0.1,1,0.073
200,1558,500,80,9,0.1,1,0.073
200,1517,500,80,9,0.1,1,0.073
200,1518,500,80,9,0.1,1,0.073
200,1555,500,80,9,0.1,1,0.073
200,1557,500,80,9,0.1,1,0.073
200,1563,500,80,9,0.1,1,0.073
200,1560,500,80,9,0.1,1,0.073
200,1560,500,80,9,0.1,1,0.073
200,1559,500,80,9,0.1,1,0.073
200,1559,500,80,9,0.1,1,0.073
200,1562,500,80,9,0.1,1,0.073
200,1557,500,80,9,0.1,1,0.073
200,1536,500,80,9,0.1,1,0.073
200,1533,500,80,9,0.1,1,0.073
200,1548,500,80,9,0.1,1,0.073
200,1561,500,80,9,0.1,1,0.073
200,1581,500,80,9,0.1,1,0.073
200,1575,500,80,9,0.1,1,0.073
200,1586,500,80,9,0.1,1,0.073
200,1580,500,80,9,0.1,1,0.073
200,1554,500,80,9,0.1,1,0.073
200,1566,500,80,9,0.1,1,0.073
200,1519,500,80,9,0.1,1,0.073
200,1563,500,80,9,0.1,1,0.073
200,1567,500,80,9,0.1,1,0.073
200,1566,500,80,9,0.1,1,0.073
200,1565,500,80,9,0.1,1,0.073
200,1549,500,80,9,0.1,1,0.073
200,1562,500,80,9,0.1,1,0.073
200,1552,500,80,9,0.1,1,0.073
200,1552,500,80,9,0.1,1,0.073
200,1580,500,80,9,0.1,1,0.073
200,1585,500,80,9,0.1,1,0.073
200,1585,500,80,9,0.1,1,0.073
200,1575,500,80,9,0.1,1,0.073
200,1519,500,80,9,0.1,1,0.073
200,1523,500,80,9,0.1,1,0.073
200,1517,500,80,9,0.1,1,0.073
200,1522,500,80,9,0.1,1,0.073
200,1522,500,80,9,0.1,1,0.073
200,1618,500,80,9,0.1,1,0.073
200,1516,500,80,9,0.1,1,0.073
200,1551,500,80,9,0.1,1,0.073
200,1552,500,80,9,0.1,1,0.073
200,1567,500,80,9,0.1,1,0.073
200,1561,500,80,9,0.1,1,0.073
200,1557,500,80,9,0.1,1,0.073
200,1557,500,80,9,0.1,1,0.073
200,1552,500,80,9,0.1,1,0.073
200,1528,500,80,9,0.1,1,0.073
200,1522,500,80,9,0.1,1,0.073
200,1520,500,80,9,0.1,1,0.073
200,1517,500,80,9,0.1,1,0.073
200,1526,500,80,9,0.1,1,0.073
